order_id,date,product,category,quantity,unit_price,discount_percentage,region,payment_method,customer_segment,sales_channel,shipping_method,customer_id,salesperson_id,customer_name,country,state,salesperson_name,discount_amount,subtotal,total_amount,shipping_cost,final_amount,returned
ORD-000612,2020-01-03T20:00:00.000000,Tablet,Peripherals,10,476.48,5,South,Bank Transfer,Consumer,Distributor,Next Day,CUST-00306,SP-042,Yan Mohamed,Australia,Queensland,Barbara Ivanov,238.24,4764.8,4526.56,50,4576.56,false
ORD-000429,2020-01-04T19:00:00.000000,Headphones,Accessories,7,1266.3,15,East,Debit Card,Enterprise,Online,Standard,CUST-00188,SP-018,Yuki Ali,United States,California,Richard Andersen,1329.62,8864.1,7534.48,10,7544.48,true
ORD-000569,2020-01-05T13:00:00.000000,Tablet,Electronics,4,1653.64,20,West,Bank Transfer,Enterprise,Online,Next Day,CUST-00068,SP-014,Ethan Mueller,Canada,Saskatchewan,Sarah Ahmed,1322.91,6614.56,5291.65,50,5341.65,false
ORD-000320,2020-01-07T19:00:00.000000,Tablet,Peripherals,1,1432.09,5,East,PayPal,Consumer,Direct Sales,Pickup,CUST-00250,SP-037,Elizabeth Santos,United Kingdom,Wales,Liam Ivanov,71.6,1432.09,1360.49,0,1360.49,false
ORD-000319,2020-01-10T15:00:00.000000,Desktop,Electronics,3,1330.62,0,South,Cash,Enterprise,Distributor,Pickup,CUST-00192,SP-011,Omar Kim,Germany,Bavaria,Carlos Kowalski,0.0,3991.86,3991.86,0,3991.86,false
ORD-000122,2020-01-18T10:00:00.000000,Keyboard,Electronics,4,438.58,0,Central,Cash,Government,Online,Next Day,CUST-00454,SP-012,Ahmed Mohamed,Germany,North Rhine-Westphalia,James Roy,0.0,1754.32,1754.32,50,1804.32,false
ORD-000489,2020-01-21T11:00:00.000000,Speaker,Peripherals,4,1166.58,20,East,Cash,Enterprise,Distributor,Standard,CUST-00307,SP-010,Robert Weber,United States,Florida,Charlotte Rodriguez,933.26,4666.32,3733.06,10,3743.06,false
ORD-000748,2020-01-22T19:00:00.000000,Speaker,Peripherals,3,1813.5,20,North,Cash,Enterprise,Online,Express,CUST-00159,SP-029,Mason Silva,United States,Florida,Isabella Popov,1088.1,5440.5,4352.4,25,4377.4,false
ORD-000050,2020-01-26T06:00:00.000000,Desktop,Accessories,2,270.94,15,Central,Cash,Consumer,Online,Standard,CUST-00307,SP-026,Robert Weber,United States,Florida,Charles Ivanov,81.28,541.88,460.6,10,470.6,false
ORD-000689,2020-01-26T12:00:00.000000,Laptop,Accessories,5,294.7,0,North,Bank Transfer,Consumer,Direct Sales,Standard,CUST-00344,SP-032,Pavel Singh,Australia,Victoria,James Williams,0.0,1473.5,1473.5,10,1483.5,false
ORD-000313,2020-01-26T22:00:00.000000,Speaker,Peripherals,3,733.52,0,East,Debit Card,Small Business,Retail Store,Next Day,CUST-00010,SP-038,Susan Levy,Germany,Lower Saxony,Sofia Mueller,0.0,2200.56,2200.56,50,2250.56,false
ORD-000998,2020-01-27T18:00:00.000000,Keyboard,Peripherals,8,212.87,10,South,Credit Card,Small Business,Online,Standard,CUST-00192,SP-026,Omar Kim,Germany,Bavaria,Charles Ivanov,170.3,1702.96,1532.66,10,1542.66,true
ORD-000715,2020-01-29T06:00:00.000000,Keyboard,Accessories,10,591.06,20,West,Debit Card,Consumer,Distributor,Pickup,CUST-00054,SP-042,Omar Smirnov,Germany,Hesse,Barbara Ivanov,1182.12,5910.6,4728.48,0,4728.48,false
ORD-000006,2020-01-30T18:00:00.000000,Printer,Accessories,10,615.59,20,North,Bank Transfer,Consumer,Retail Store,Standard,CUST-00406,SP-024,Barbara Chen,Germany,Saxony,Richard Kumar,1231.18,6155.9,4924.72,10,4934.72,false
ORD-000481,2020-02-03T00:00:00.000000,Mouse,Peripherals,4,1414.3,10,Central,Cash,Small Business,Distributor,Pickup,CUST-00480,SP-044,Jessica Andersen,Germany,Lower Saxony,Emma Kumar,565.72,5657.2,5091.48,0,5091.48,false
ORD-000223,2020-02-03T01:00:00.000000,Mouse,Electronics,6,279.23,15,North,Bank Transfer,Small Business,Direct Sales,Standard,CUST-00041,SP-004,Sophia Suzuki,Australia,Queensland,Ming Roy,251.31,1675.38,1424.07,10,1434.07,false
ORD-000138,2020-02-03T23:00:00.000000,Speaker,Accessories,8,1619.93,15,Central,PayPal,Small Business,Direct Sales,Standard,CUST-00158,SP-024,Hiroshi Patel,Germany,Lower Saxony,Richard Kumar,1943.92,12959.44,11015.52,10,11025.52,false
ORD-000761,2020-02-05T00:00:00.000000,Keyboard,Accessories,1,1397.56,5,West,Credit Card,Consumer,Retail Store,Standard,CUST-00357,SP-042,Sofia Kowalski,Australia,Tasmania,Barbara Ivanov,69.88,1397.56,1327.68,10,1337.68,false
ORD-000597,2020-02-05T15:00:00.000000,Desktop,Electronics,9,433.02,10,West,PayPal,Government,Direct Sales,Next Day,CUST-00312,SP-047,Akiko Mohamed,United Kingdom,England,Jennifer Chen,389.72,3897.18,3507.46,50,3557.46,false
ORD-000909,2020-02-07T03:00:00.000000,Printer,Accessories,5,789.13,0,North,Bank Transfer,Consumer,Retail Store,Standard,CUST-00464,SP-029,Akiko Brown,Canada,Quebec,Isabella Popov,0.0,3945.65,3945.65,10,3955.65,false
ORD-000299,2020-02-08T05:00:00.000000,Speaker,Peripherals,6,1760.83,10,South,Cash,Consumer,Distributor,Express,CUST-00466,SP-031,Susan Kumar,Canada,New Brunswick,Lucas Nielsen,1056.5,10564.98,9508.48,25,9533.48,false
ORD-000279,2020-02-09T15:00:00.000000,Speaker,Peripherals,10,69.46,15,East,Cash,Enterprise,Direct Sales,Next Day,CUST-00279,SP-004,Linda Jensen,United Kingdom,Northern Ireland,Ming Roy,104.19,694.6,590.41,50,640.41,false
ORD-000575,2020-02-13T04:00:00.000000,Smartphone,Peripherals,8,1351.06,10,North,Debit Card,Small Business,Distributor,Standard,CUST-00311,SP-038,Karen Li,United States,North Carolina,Sofia Mueller,1080.85,10808.48,9727.63,10,9737.63,false
ORD-000809,2020-02-13T18:00:00.000000,Monitor,Electronics,5,1879.72,10,Central,Bank Transfer,Small Business,Direct Sales,Standard,CUST-00164,SP-041,Karen Mueller,United States,Illinois,Barbara Santos,939.86,9398.6,8458.74,10,8468.74,false
ORD-000539,2020-02-16T02:00:00.000000,Smartphone,Peripherals,10,1606.67,10,West,Debit Card,Enterprise,Distributor,Standard,CUST-00180,SP-008,Ava Sharma,United States,Illinois,Omar Cohen,1606.67,16066.7,14460.03,10,14470.03,false
ORD-000662,2020-02-18T02:00:00.000000,Monitor,Peripherals,8,109.4,20,South,Credit Card,Consumer,Online,Next Day,CUST-00211,SP-027,Akiko Ahmed,United Kingdom,England,Sofia Davis,175.04,875.2,700.16,50,750.16,false
ORD-000030,2020-02-19T01:00:00.000000,Headphones,Peripherals,9,1386.62,20,Central,Bank Transfer,Small Business,Direct Sales,Next Day,CUST-00241,SP-044,Yan Suzuki,United Kingdom,England,Emma Kumar,2495.92,12479.58,9983.66,50,10033.66,false
ORD-000775,2020-02-20T10:00:00.000000,Printer,Peripherals,10,896.0,0,West,Bank Transfer,Small Business,Retail Store,Next Day,CUST-00356,SP-044,Patricia Martinez,United Kingdom,Wales,Emma Kumar,0.0,8960.0,8960.0,50,9010.0,false
ORD-000621,2020-02-20T11:00:00.000000,Smartphone,Accessories,9,1605.58,10,East,Cash,Small Business,Direct Sales,Next Day,CUST-00216,SP-042,Mary Brown,United Kingdom,Wales,Barbara Ivanov,1445.02,14450.22,13005.2,50,13055.2,false
ORD-000758,2020-02-21T18:00:00.000000,Mouse,Electronics,4,1796.35,5,North,Debit Card,Government,Direct Sales,Express,CUST-00167,SP-011,Mary Rodriguez,Australia,Victoria,Carlos Kowalski,359.27,7185.4,6826.13,25,6851.13,false
ORD-000451,2020-02-22T18:00:00.000000,Desktop,Accessories,2,1991.48,10,Central,Cash,Consumer,Distributor,Pickup,CUST-00245,SP-013,Noah Schmidt,United Kingdom,England,Ava Jones,398.3,3982.96,3584.66,0,3584.66,false
ORD-000155,2020-02-23T09:00:00.000000,Laptop,Accessories,10,1349.6,20,West,Cash,Consumer,Distributor,Next Day,CUST-00255,SP-029,Elena Mohamed,United States,Pennsylvania,Isabella Popov,2699.2,13496.0,10796.8,50,10846.8,false
ORD-000442,2020-02-23T21:00:00.000000,Desktop,Peripherals,1,1429.42,15,North,Cash,Enterprise,Online,Express,CUST-00324,SP-010,Patricia Le,United States,North Carolina,Charlotte Rodriguez,214.41,1429.42,1215.01,25,1240.01,false
ORD-000783,2020-02-24T19:00:00.000000,Monitor,Accessories,3,1866.53,10,Central,Credit Card,Small Business,Direct Sales,Pickup,CUST-00237,SP-030,Ethan Tran,United States,Illinois,Wei Singh,559.96,5599.59,5039.63,0,5039.63,false
ORD-000919,2020-02-26T04:00:00.000000,Smartphone,Accessories,6,580.4,10,West,Bank Transfer,Small Business,Retail Store,Next Day,CUST-00072,SP-028,Mia Oliveira,Germany,Saxony,Karen Le,348.24,3482.4,3134.16,50,3184.16,false
ORD-000849,2020-02-28T04:00:00.000000,Laptop,Electronics,10,113.69,15,North,Credit Card,Consumer,Retail Store,Express,CUST-00141,SP-038,Ava Sharma,United States,New York,Sofia Mueller,170.54,1136.9,966.36,25,991.36,false
ORD-000195,2020-02-28T16:00:00.000000,Tablet,Accessories,5,739.89,5,North,Cash,Small Business,Retail Store,Pickup,CUST-00049,SP-012,Sofia Andersen,Canada,Ontario,James Roy,184.97,3699.45,3514.48,0,3514.48,false
ORD-000265,2020-03-01T07:00:00.000000,Keyboard,Accessories,5,452.19,15,East,Bank Transfer,Consumer,Online,Express,CUST-00141,SP-009,Ava Sharma,United States,New York,Fatima Smith,339.14,2260.95,1921.81,25,1946.81,false
ORD-000860,2020-03-01T13:00:00.000000,Monitor,Peripherals,3,1244.95,15,South,Cash,Government,Distributor,Standard,CUST-00058,SP-035,William Ali,Canada,Manitoba,Liam Singh,560.23,3734.85,3174.62,10,3184.62,false
ORD-000143,2020-03-02T04:00:00.000000,Smartphone,Peripherals,9,1252.73,5,South,PayPal,Enterprise,Retail Store,Standard,CUST-00403,SP-044,Pavel Smirnov,United States,Georgia,Emma Kumar,563.73,11274.57,10710.84,10,10720.84,false
ORD-000786,2020-03-04T07:00:00.000000,Mouse,Electronics,9,1331.21,10,North,Bank Transfer,Consumer,Distributor,Next Day,CUST-00429,SP-031,Fatima Ivanov,Germany,Lower Saxony,Lucas Nielsen,1198.09,11980.89,10782.8,50,10832.8,false
ORD-000278,2020-03-04T13:00:00.000000,Desktop,Electronics,5,543.88,0,North,Cash,Enterprise,Direct Sales,Express,CUST-00202,SP-030,Jessica Andersen,United Kingdom,England,Wei Singh,0.0,2719.4,2719.4,25,2744.4,false
ORD-000405,2020-03-06T15:00:00.000000,Smartphone,Electronics,3,1697.5,15,South,Bank Transfer,Government,Distributor,Standard,CUST-00307,SP-044,Robert Weber,United States,Florida,Emma Kumar,763.88,5092.5,4328.62,10,4338.62,false
ORD-000734,2020-03-07T00:00:00.000000,Smartphone,Accessories,10,170.53,20,North,Cash,Consumer,Distributor,Pickup,CUST-00417,SP-046,Noah Nguyen,Canada,Saskatchewan,Sofia Li,341.06,1705.3,1364.24,0,1364.24,false
ORD-000937,2020-03-07T17:00:00.000000,Printer,Electronics,5,284.76,15,North,Cash,Small Business,Direct Sales,Express,CUST-00041,SP-029,Sophia Suzuki,Australia,Queensland,Isabella Popov,213.57,1423.8,1210.23,25,1235.23,false
ORD-000257,2020-03-08T01:00:00.000000,Tablet,Electronics,2,1281.27,10,East,PayPal,Enterprise,Direct Sales,Standard,CUST-00002,SP-016,Mary Brown,Germany,Lower Saxony,Ming Smirnov,256.25,2562.54,2306.29,10,2316.29,false
ORD-000934,2020-03-12T01:00:00.000000,Speaker,Accessories,4,1226.88,5,East,Debit Card,Small Business,Retail Store,Standard,CUST-00326,SP-017,Noah Suzuki,United States,North Carolina,Yan Wang,245.38,4907.52,4662.14,10,4672.14,false
ORD-000572,2020-03-12T16:00:00.000000,Speaker,Electronics,9,943.94,0,East,Bank Transfer,Government,Retail Store,Next Day,CUST-00282,SP-010,Yuki Miller,Germany,Bavaria,Charlotte Rodriguez,0.0,8495.46,8495.46,50,8545.46,false
ORD-000107,2020-03-14T06:00:00.000000,Tablet,Accessories,3,895.49,10,Central,Bank Transfer,Government,Online,Next Day,CUST-00142,SP-045,Elizabeth Wang,Germany,North Rhine-Westphalia,Yuki Wang,268.65,2686.47,2417.82,50,2467.82,false
ORD-000936,2020-03-14T11:00:00.000000,Smartphone,Peripherals,5,1391.69,15,South,Credit Card,Small Business,Direct Sales,Next Day,CUST-00235,SP-001,David Smirnov,United States,California,Yan Jensen,1043.77,6958.45,5914.68,50,5964.68,false
ORD-000522,2020-03-15T19:00:00.000000,Mouse,Electronics,4,1712.47,0,East,Credit Card,Consumer,Direct Sales,Next Day,CUST-00191,SP-021,William Le,Canada,British Columbia,Ming Levy,0.0,6849.88,6849.88,50,6899.88,false
ORD-000045,2020-03-16T04:00:00.000000,Tablet,Peripherals,9,1961.72,20,North,Cash,Government,Retail Store,Next Day,CUST-00021,SP-032,Mia Mueller,Canada,Quebec,James Williams,3531.1,17655.48,14124.38,50,14174.38,false
ORD-000437,2020-03-16T22:00:00.000000,Smartphone,Electronics,2,1194.53,15,Central,PayPal,Enterprise,Online,Express,CUST-00332,SP-002,Robert Santos,Canada,Saskatchewan,James Roy,358.36,2389.06,2030.7,25,2055.7,false
ORD-000735,2020-03-20T01:00:00.000000,Mouse,Peripherals,9,230.1,5,West,Bank Transfer,Government,Direct Sales,Express,CUST-00448,SP-041,Maria Nguyen,United States,North Carolina,Barbara Santos,103.55,2070.9,1967.35,25,1992.35,false
ORD-000051,2020-03-22T12:00:00.000000,Keyboard,Electronics,5,837.02,20,North,Credit Card,Consumer,Direct Sales,Express,CUST-00339,SP-047,Yuki Sharma,Germany,Baden-Württemberg,Jennifer Chen,837.02,4185.1,3348.08,25,3373.08,false
ORD-000557,2020-03-22T19:00:00.000000,Mouse,Accessories,5,1148.65,5,West,Cash,Government,Retail Store,Standard,CUST-00175,SP-002,Anna Oliveira,Australia,Tasmania,James Roy,287.16,5743.25,5456.09,10,5466.09,false
ORD-000828,2020-03-23T17:00:00.000000,Smartphone,Accessories,2,734.1,10,West,Cash,Consumer,Distributor,Standard,CUST-00190,SP-048,Sarah Suzuki,United Kingdom,England,Hiroshi Popov,146.82,1468.2,1321.38,10,1331.38,false
ORD-000887,2020-03-27T00:00:00.000000,Mouse,Electronics,6,501.19,20,North,Credit Card,Consumer,Online,Standard,CUST-00454,SP-042,Ahmed Mohamed,Germany,North Rhine-Westphalia,Barbara Ivanov,601.43,3007.14,2405.71,10,2415.71,false
ORD-000570,2020-03-27T21:00:00.000000,Keyboard,Accessories,2,161.11,15,West,Debit Card,Consumer,Distributor,Express,CUST-00028,SP-028,Wei Nielsen,Canada,Manitoba,Karen Le,48.33,322.22,273.89,25,298.89,false
ORD-000991,2020-03-28T09:00:00.000000,Monitor,Accessories,1,490.85,5,North,Bank Transfer,Enterprise,Retail Store,Pickup,CUST-00177,SP-004,Yan Rodriguez,United Kingdom,Scotland,Ming Roy,24.54,490.85,466.31,0,466.31,true
ORD-000008,2020-03-28T15:00:00.000000,Headphones,Accessories,7,1361.77,15,Central,Debit Card,Small Business,Retail Store,Next Day,CUST-00244,SP-019,Liam Cohen,United Kingdom,Wales,Anna Miller,1429.86,9532.39,8102.53,50,8152.53,true
ORD-000136,2020-03-28T17:00:00.000000,Desktop,Electronics,9,1905.41,15,Central,PayPal,Government,Distributor,Express,CUST-00236,SP-013,James Schmidt,Canada,Saskatchewan,Ava Jones,2572.3,17148.69,14576.39,25,14601.39,false
ORD-000440,2020-03-29T03:00:00.000000,Tablet,Electronics,2,1525.62,10,West,Bank Transfer,Enterprise,Retail Store,Standard,CUST-00072,SP-016,Mia Oliveira,Germany,Saxony,Ming Smirnov,305.12,3051.24,2746.12,10,2756.12,false
ORD-000414,2020-03-30T10:00:00.000000,Laptop,Peripherals,1,1723.15,20,North,Debit Card,Small Business,Distributor,Express,CUST-00406,SP-045,Barbara Chen,Germany,Saxony,Yuki Wang,344.63,1723.15,1378.52,25,1403.52,false
ORD-000760,2020-04-02T22:00:00.000000,Monitor,Electronics,7,662.06,20,South,PayPal,Government,Direct Sales,Express,CUST-00404,SP-047,Thomas Kowalski,Germany,Baden-Württemberg,Jennifer Chen,926.88,4634.42,3707.54,25,3732.54,false
ORD-000704,2020-04-03T02:00:00.000000,Mouse,Accessories,2,1924.91,0,North,Cash,Government,Retail Store,Next Day,CUST-00086,SP-041,Sofia Oliveira,United States,Florida,Barbara Santos,0.0,3849.82,3849.82,50,3899.82,false
ORD-000530,2020-04-03T16:00:00.000000,Mouse,Accessories,5,573.7,20,South,Bank Transfer,Small Business,Retail Store,Express,CUST-00307,SP-012,Robert Weber,United States,Florida,James Roy,573.7,2868.5,2294.8,25,2319.8,false
ORD-000118,2020-04-06T03:00:00.000000,Keyboard,Accessories,6,1293.49,15,North,PayPal,Consumer,Distributor,Next Day,CUST-00127,SP-033,Barbara Ahmed,Germany,Saxony,Yan Tremblay,1164.14,7760.94,6596.8,50,6646.8,false
ORD-000538,2020-04-06T06:00:00.000000,Speaker,Electronics,7,592.82,10,South,Credit Card,Government,Retail Store,Standard,CUST-00179,SP-010,Akiko Le,Germany,Baden-Württemberg,Charlotte Rodriguez,414.97,4149.74,3734.77,10,3744.77,false
ORD-000189,2020-04-06T12:00:00.000000,Tablet,Electronics,9,613.92,20,West,Credit Card,Government,Direct Sales,Standard,CUST-00259,SP-018,Susan Levy,Canada,Saskatchewan,Richard Andersen,1105.06,5525.28,4420.22,10,4430.22,false
ORD-000926,2020-04-09T05:00:00.000000,Headphones,Accessories,2,1358.63,15,South,Bank Transfer,Enterprise,Distributor,Pickup,CUST-00171,SP-011,Karen Oliveira,United States,Texas,Carlos Kowalski,407.59,2717.26,2309.67,0,2309.67,false
ORD-000163,2020-04-10T01:00:00.000000,Desktop,Peripherals,2,1316.18,20,East,Bank Transfer,Consumer,Distributor,Pickup,CUST-00250,SP-007,Elizabeth Santos,United Kingdom,Wales,Juan Cohen,526.47,2632.36,2105.89,0,2105.89,false
ORD-000214,2020-04-10T02:00:00.000000,Headphones,Peripherals,6,1724.59,20,Central,PayPal,Consumer,Online,Standard,CUST-00269,SP-035,Fatima Wang,Germany,Lower Saxony,Liam Singh,2069.51,10347.54,8278.03,10,8288.03,false
